Tournament|Date|Time|Rounds
Winter Tournament|January 06, 13, 20, 27 February 03|60 + 30|5
Late Winter Tournament|February 10, 17, 24 March 03, 10|60 + 30|5
March Rapid|March 17|25 + 5|3
Early Spring Tournament|March 24, 31 April 07, 14, 21|60 + 30|5
Spring Tournament|April 28 May 05, 12, 19, 26|60 + 30|5
June Blitz|June 02|3 + 2|6
Late Spring Tournament|June 09, 16, 23, 30, July 07|60 + 30|5
Summer Tournament|July 14, 21, 28, August 04, 11|60 + 30|5
August Rapid|August 18|25 + 5|3
Late Summer Tournament|August 25 September 01, 08, 15, 22|60 + 30|5
Will Wetengl Memorial Tournament|September 29, October 06, 13, 20, 27|60 + 30|5
November Blitz|November 03|3 + 2|6
Club Championship Tournament|November 10, 17, 24 December 01, 08, 15|60 + 30|5
